date,forecast
2023-06-21,0.45183155932533436
2023-06-22,0.4671653954997864
2023-06-23,0.48210327819877247
2023-06-26,0.49665543181447624
2023-06-27,0.5108318167227217
2023-06-28,0.5246421361004562
2023-06-29,0.5380958425671947
2023-06-30,0.5512021446549634
2023-07-03,0.5639700131111791
2023-07-05,0.576408187038771
2023-07-06,0.5885251798777524
2023-07-07,0.6003292852323361
2023-07-10,0.6118285825475784
2023-07-11,0.6230309426394417
2023-07-12,0.6339440330820582
2023-07-13,0.6445753234558809
2023-07-14,0.6549320904603189
2023-07-17,0.6650214228943502
2023-07-18,0.6748502265085261
2023-07-19,0.6844252287316847
