date,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1999-06-04,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.38944,1999-05-31,1.4179630754586816,1.4759512863252995,0.05798821086661787
1999-06-07,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.37061,1999-06-07,1.3703522836174955,1.4979992379478384,0.1276469543303429
1999-06-08,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.37061,1999-06-07,1.3877760435635142,1.5131178024500072,0.1253417588864929
1999-06-09,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.37061,1999-06-07,1.3456782927380975,1.5055584601230876,0.1598801673849901
1999-06-10,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.37061,1999-06-07,1.406326809717174,1.5950100568746717,0.18868324715749774
1999-06-11,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.37061,1999-06-07,1.3704160949829127,1.6315466177928302,0.26113052280991744
1999-06-14,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.35278,1999-06-14,1.3531470545106674,1.669973044330636,0.31682598981996857
1999-06-15,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.35278,1999-06-14,1.3638988452850107,1.6321765729993791,0.2682777277143684
1999-06-16,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.35278,1999-06-14,1.3685096541552897,1.4110673418707809,0.04255768771549118
1999-06-17,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.35278,1999-06-14,1.3907493184608135,1.382720078486091,-0.008029239974722602
1999-06-18,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.35278,1999-06-14,1.3832438360696988,1.3701212146584487,-0.01312262141125009
1999-06-21,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.33549,1999-06-21,1.3625784164614785,1.3739008257460732,0.011322409284594714
