date,spx,dhoust,ip,nai,nfci,Rvol22,vix,vrp
1992-06-08,-0.02903237292342098,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.89018,0.3025624522448906,0.9568800310683261,0.6543175788234354
1992-06-09,-0.8015364040324435,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.89018,0.32944791337948515,1.006015455814127,0.6765675424346418
1992-06-10,-0.6876237018968112,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.89018,0.35083495121323377,1.0469616431022943,0.6961266918890605
1992-06-11,0.44101206351587763,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.89018,0.3441327963922236,1.0261736018928536,0.68204080550063
1992-06-12,0.17342781664497764,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.89018,0.3328719767703085,0.9417614665661574,0.608889489795849
1992-06-15,0.12926012834757472,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.90265,0.333564315461334,0.9297926180208993,0.5962283025595653
1992-06-16,-0.48130489134203813,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.90265,0.3151492829265765,0.9587698966879735,0.643620613761397
1992-06-17,-1.495252865184593,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.90265,0.3918180422540194,1.1389329405284045,0.7471148982743852
1992-06-18,-0.3237019605426994,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.90265,0.3767160877292732,1.146492282855324,0.7697761951260507
1992-06-19,0.6736095356795424,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.90265,0.3638256780149204,1.0274333921542818,0.6636077141393614
1992-06-22,-0.06691353634122876,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.91453,0.3615052719622758,1.0494813437768207,0.6879760718145449
1992-06-23,0.15852937197573524,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.91453,0.342003253974868,0.9153039486494448,0.5733006946745767
1992-06-24,-0.04951532651107371,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.91453,0.33674941553365234,0.9071147111918113,0.570365295658159
1992-06-25,-0.1784478584785809,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.91453,0.3200184453035821,0.9071147111918113,0.5870962658882293
1992-06-26,0.08183222913409338,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.91453,0.31877449953630904,0.9241231413136274,0.6053486417773184
1992-06-29,1.3515857433862521,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.92521,0.3465439703776689,0.832151783811682,0.4856078134340131
1992-06-30,-0.19581632933363124,-5.851605563110329,0.05969464073487529,0.05969464073487529,-0.92521,0.3432132696474435,0.8409709764758646,0.49775770682842113
1992-07-01,1.154671697504206,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.92521,0.3938444697398046,0.8403410212693154,0.44649655152951084
1992-07-02,-0.26920913059997886,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.92521,0.3591009733408503,0.8743578214371125,0.5152568480962623
1992-07-06,0.5014502485465755,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.9335,0.36738046423801163,0.9367219450654346,0.569341480827423
1992-07-07,-1.1373130307046786,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.9335,0.42148228208158595,0.9971962631499444,0.5757139810683585
1992-07-08,0.2733563924799398,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.9335,0.4247500639894248,0.9782980274843159,0.5535479634948912
1992-07-09,0.9581551175386949,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.9335,0.4664418071979714,0.9197135750194536,0.4532717678214822
1992-07-10,0.09410246890659835,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.9335,0.43764156481911026,0.8630188680225684,0.4253773032034582
1992-07-13,0.06027800468064726,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93915,0.4163146140208378,0.8825470588947459,0.46623244487390814
