date,GM_dhoust,GM_ip,GM_nai,GM_nfci,GM_Rvol22,GM_vix,GM_vrp,GM_vix_dhoust,GM_vix_ip,GM_vix_nai,GM_vix_nfci,GARCH11
2023-07-18,0.394888034458765,0.4075195061389379,0.4075195061389379,0.36751509633722046,0.4041308130680498,0.3279549511847254,0.3282143022153848,0.4663548141384214,0.34228985182566435,0.34228985182566435,0.4020982460210248,0.6757720942259842
2023-07-19,0.4116922780589711,0.4247160542700983,0.4247160542700983,0.38047765504400727,0.4251957332936066,0.3373270408963768,0.34229585356569564,0.48286557646700146,0.3526716100886466,0.3526716100886466,0.4134002649220311,0.6829551974536272
2023-07-20,0.4280625990203553,0.4414907274413186,0.4414907274413186,0.39311366478268744,0.4454370300406798,0.345829333331199,0.35611011780390184,0.49792284868422704,0.3621214442146673,0.3621214442146673,0.42365129207426594,0.6899667932306334
2023-07-21,0.444010202182657,0.45785387531582605,0.45785387531582605,0.40543135187886403,0.4648869064046073,0.3535425519271931,0.36966216840511407,0.5116545857240836,0.37072300887714993,0.37072300887714993,0.43294906078234174,0.6968133692912275
2023-07-24,0.4595460030519364,0.4738155936533474,0.4738155936533474,0.41743873542296395,0.4835763063624813,0.36053992840720284,0.38295698254294375,0.5241774782780255,0.37855244944258193,0.37855244944258193,0.4413822159837721,0.7035010238279783
2023-07-25,0.4746806352718082,0.4893857305390068,0.4893857305390068,0.4291436324908458,0.5015349640037811,0.36688789806391936,0.3959994429174367,0.5355979444187907,0.38567907604750695,0.38567907604750695,0.4490311593899079,0.7100354984410558
2023-07-26,0.4894244579017522,0.5045738924594116,0.5045738924594116,0.4405536632328909,0.5187914508361224,0.37264673051744185,0.40879433954831124,0.5460130339287066,0.3921659771666323,0.3921659771666323,0.45596881603594525,0.7164222075376474
2023-07-27,0.5037875625074806,0.5193894502296778,0.5193894502296778,0.45167625583489285,0.5353732212413862,0.3778711019340023,0.42134637153415727,0.5555112530173621,0.3980705781036631,0.3980705781036631,0.4622613295482948,0.7226662646407054
2023-07-28,0.5177797800682178,0.5338415447750483,0.5338415447750483,0.46251865135397213,0.5513066561545445,0.3826106141386819,0.43366014877824366,0.5641733164370004,0.403445149348906,0.403445149348906,0.4679686927579916,0.7287725059974284
2023-07-31,0.5314106877056181,0.547939092770677,0.547939092770677,0.4730879084326673,0.566617105034675,0.3869102655507355,0.4457401936815677,0.57207283338702,0.4083372693038775,0.4083372693038775,0.4731453196724147,0.7347455118207432
2023-08-01,0.5446896152389281,0.5616907921430502,0.5616907921430502,0.48339090789426903,0.5813289261949388,0.3908108784127344,0.457590942803768,0.579276933036322,0.4127902454691882,0.4127902454691882,0.4778405642584963,0.7405896254493667
2023-08-02,0.5576256515708806,0.5751051274364479,0.5751051274364479,0.49343435722239076,0.5954655255556847,0.39434948636977446,0.4692167484925105,0.5858468349791167,0.4168434978242686,0.4168434978242686,0.4820991909834986,0.7463089706720608
2023-08-03,0.5702276509086904,0.5881903750477504,0.5881903750477504,0.5032247949276903,0.6090493938823345,0.39755968607854814,0.48062188048194754,0.5918383694718579,0.42053290779280805,0.42053290779280805,0.4859618015994962,0.7519074674280533
2023-08-04,0.5825042388244097,0.6009546083328218,0.6009546083328218,0.5127685948045878,0.6221021425672925,0.40047195618456755,0.4918105274608346,0.5973024518722166,0.42389113588312094,0.42389113588312094,0.48946522224052663,0.7573888460671717
2023-08-07,0.5944638181587937,0.6134057025876221,0.6134057025876221,0.5220719700807475,0.6346445380128097,0.4031139466960097,0.5027867986108838,0.6022855153118214,0.4269479108153552,0.4269479108153552,0.49264285452299483,0.7627566603291347
2023-08-08,0.6061145747727125,0.6255513399071182,0.6255513399071182,0.5311409774620295,0.6466965346695,0.40551074150158867,0.5135547251159156,0.6068299052795673,0.42973029269504026,0.42973029269504026,0.49552499399672195,0.7680142991809199
2023-08-09,0.6174644831500511,0.63739901392499565,0.63739901392499565,0.53998152107554,0.6582773067830743,0.4076850965248831,0.5241182616423659,0.6109742394686151,0.4322629125627192,0.4322629125627192,0.49813911898275204,0.7731649976336086
2023-08-10,0.6285213118559299,0.6489560344370908,0.6489560344370908,0.5485993563133515,0.669405278899802,0.4096576557762303,0.5344812877916902,0.6147537359450211,0.4345681904402794,0.4345681904402794,0.5005101525516964,0.7782118466450824
2023-08-11,0.6392926288539802,0.6602295319114009,0.6602295319114009,0.5570000935793908,0.6800981551792271,0.41144714735345217,0.5446476095252006,0.6182005124267336,0.4366665338042358,0.4366665338042358,0.5026607001403176,0.7831578022020425
2023-08-14,0.6497858066863189,0.67122646188745,0.67122646188745,0.5651892019419387,0.6903729475607807,0.41307056125230507,0.5546209605618553,0.6213438592161932,0.4385765182429535,0.4385765182429535,0.5046112650717889,0.7880056936636877
2023-08-15,0.660008027519761,0.6819536092677292,0.6819536092677292,0.5731720126941156,0.700246002829097,0.41454331067484235,0.5644050037495184,0.6242104881058906,0.4403150518970763,0.4403150518970763,0.5063804440344014,0.7927582314397608
2023-08-16,0.6699662880617318,0.6924175925038552,0.6924175925038552,0.5809537228246728,0.7097330286210952,0.4158793783672014,0.5740033324101893,0.6268247593720466,0.44189752513887254,0.44189752513887254,0.5079851043824113,0.7974180140673256
2023-08-17,0.679667404349236,0.7026248676800331,0.7026248676800331,0.5885393984013494,0.7188491184162036,0.41709144937619225,0.5834194716596994,0.6292088887853835,0.4433379468155321,0.4433379468155321,0.5094405449494148,0.8019875347433794
