"","date","symbol","open_to_close","rk_twoscale","rk_th2","medrv","rsv_ss","close_price","nobs","bv_ss","rv10","rv5_ss","open_time","rv5","rsv","rk_parzen","rv10_ss","bv","open_price","close_time"
"1",2000-01-03,".SPX",-0.011601764068927,0.000121732392305426,0.000130157172062276,5.77451551249933e-05,9.61334350034257e-05,1454.24,1554,0.00014104627625014,0.000164017667223721,0.000140814843656457,83004,0.000140814843656457,9.61334350034257e-05,0.000339926422169067,0.000164017667223721,0.00014104627625014,1471.21,145959
"2",2000-01-04,".SPX",-0.0351016718317254,0.000142320783640389,0.000162225852760183,6.69669381238485e-05,0.000180063181681905,1399.02,1564,0.000173317063537549,0.000294820008894959,0.000224131151514275,83009,0.000224131151514275,0.000180063181681905,0.000215271292919409,0.000294820008894959,0.000173317063537549,1449,150000
"3",2000-01-05,".SPX",0.00462521957901529,0.000219049388463848,0.00023983654347448,0.000141752107424134,0.000130848495676022,1402.09,1552,0.000302745189554579,0.000267163886484312,0.00031428221486957,83012,0.00031428221486957,0.000130848495676022,0.000162765175977063,0.000267163886484312,0.000302745189554579,1395.62,150003
"4",2000-01-06,".SPX",0.0029907978595114,0.000126587015269271,0.000132232355773143,7.00609134691682e-05,5.5694597003469e-05,1403.06,1561,0.000128444195426644,0.000115000070695816,0.000130809727841117,83005,0.000130809727841117,5.5694597003469e-05,6.65950424369613e-05,0.000115000070695816,0.000128444195426644,1398.87,145954
"5",2000-01-07,".SPX",0.0262927858859401,9.09079036785334e-05,9.48677306042109e-05,4.93378231095665e-05,2.30560766861625e-05,1440.84,1540,7.87059261179856e-05,0.000121460234378562,9.36217710436821e-05,83000,9.36217710436821e-05,2.30560766861625e-05,0.000215484529223218,0.000121460234378562,7.87059261179856e-05,1403.45,150000
"6",2000-01-10,".SPX",0.0106062802700508,0.00010564493742655,0.000112111347583815,6.74707223248231e-05,3.43681024702456e-05,1456.84,1573,0.000135749418046528,0.000118611786984949,0.000120212728409948,83006,0.000120212728409948,3.43681024702456e-05,0.000211971794724993,0.000118611786984949,0.000135749418046528,1441.47,145956
"7",2000-01-11,".SPX",-0.0126153691078592,7.22525548485365e-05,7.45485282580501e-05,4.65576866896603e-05,4.67336002774653e-05,1438.33,1523,6.80540174868629e-05,6.86278089358741e-05,6.80992035840115e-05,83009,6.80992035840115e-05,4.67336002774653e-05,6.86008830146967e-05,6.86278089358741e-05,6.80540174868629e-05,1456.59,145953
"8",2000-01-12,".SPX",-0.00457752798047828,0.000110664297070958,0.000114584891590366,9.60726871451923e-05,6.66748202438587e-05,1431.99,1549,0.000113252846481977,0.000108398943810442,0.000123002349008086,83001,0.000123002349008086,6.66748202438587e-05,6.90254141033658e-05,0.000108398943810442,0.000113252846481977,1438.56,145949
"9",2000-01-13,".SPX",0.0122272629342541,8.62111424814326e-05,9.07753908704067e-05,2.75039003637119e-05,2.40829715564568e-05,1449.87,1539,5.48698943912846e-05,0.000103631049499839,0.000101327682707063,83000,0.000101327682707063,2.40829715564568e-05,6.07083056860029e-05,0.000103631049499839,5.48698943912846e-05,1432.25,145958
"10",2000-01-14,".SPX",0.00973394012936524,8.08736356858513e-05,8.97601310207281e-05,3.93364890849257e-05,3.15187804038921e-05,1463.86,1572,9.21297035492427e-05,0.000181629444551433,0.000139300430890797,83001,0.000139300430890797,3.15187804038921e-05,0.000157182796836941,0.000181629444551433,9.21297035492427e-05,1449.68,145946
"11",2000-01-18,".SPX",-0.00666997843557127,7.2087268030284e-05,7.55932607771078e-05,2.20388590410526e-05,6.50466337889231e-05,1455.41,1544,8.1326885374625e-05,0.000126738193925617,9.27316723739096e-05,83002,9.27316723739096e-05,6.50466337889231e-05,7.2709226271827e-05,0.000126738193925617,8.1326885374625e-05,1465.15,145954
