date,ndx,dhoust,ip,nai,nfci,Rvol22,vix,vrp
2015-08-13,-0.19607870170457176,-1.405998556829946,-0.15936700042207264,-0.25,-0.47,0.692171255401994,1.0677496992451456,0.37557844384315164
2015-08-14,0.25238321047336143,-1.405998556829946,-0.15936700042207264,-0.25,-0.47,0.6945360444971347,1.0337328336802365,0.3391967891831018
2015-08-17,0.7833270964722416,-1.405998556829946,-0.15936700042207264,-0.25,-0.44,0.6257064699240732,0.9795579258822472,0.353851455958174
2015-08-18,-0.5335787645545764,-1.405998556829946,-0.15936700042207264,-0.25,-0.44,0.544238761834656,1.0079052613579391,0.4636664995232831
2015-08-19,-0.6886148106961087,-1.405998556829946,-0.15936700042207264,-0.25,-0.44,0.5589816289030741,1.093577271567443,0.5345956426643689
2015-08-20,-2.8277423195842033,-1.405998556829946,-0.15936700042207264,-0.25,-0.44,0.9218648198038729,1.3613021066156454,0.4394372868117725
2015-08-21,-4.378492651311383,-1.405998556829946,-0.15936700042207264,-0.25,-0.44,1.7382111193767507,1.9024212438071892,0.1642101244304386
2015-08-24,-3.853619718431922,-1.405998556829946,-0.15936700042207264,-0.25,-0.42,2.4043305046403383,2.7055957489517968,0.3012652443114585
2015-08-25,-0.5532044107553702,-1.405998556829946,-0.15936700042207264,-0.25,-0.42,2.3734603114164354,2.4139331009522644,0.040472789535829
2015-08-26,4.9374282629599975,-1.405998556829946,-0.15936700042207264,-0.25,-0.42,3.449218761267757,1.9761243160439883,-1.4730944452237686
2015-08-27,2.4630120274856893,-1.405998556829946,-0.15936700042207264,-0.25,-0.42,3.687634633179523,1.7928114206463555,-1.8948232125331677
2015-08-28,0.09938348043245782,-1.405998556829946,-0.15936700042207264,-0.25,-0.42,3.6781481663150744,1.811079766502547,-1.8670683998125273
2015-08-31,-1.2678444933969857,-1.405998556829946,-0.15936700042207264,-0.25,-0.4,3.7449857224715983,1.8847828387393464,-1.860202883732252
2015-09-01,-3.135504659673849,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.189848855343808,2.0756549606030847,-2.114193894740723
2015-09-02,2.7052963634611515,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.520969624277493,1.789661779698691,-2.7313078445788017
2015-09-03,-0.5083130315297169,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.529048257886747,1.7701336152598808,-2.7589146426268663
2015-09-04,-1.18608094529975,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.5668510906513555,1.8217887599044753,-2.7450623307468804
2015-09-08,2.799571872890816,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.8045460096685355,1.6731226708601004,-3.1314233388084354
2015-09-09,-1.1705102009589297,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.865245045546787,1.7329671087473069,-3.13227793679948
2015-09-10,1.002367759816103,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.849077249129133,1.6655635073880732,-3.1835137417410593
2015-09-11,0.624866165497906,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.789865809066597,1.5761118524484774,-3.2137539566181195
2015-09-14,-0.3352698040721691,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.79049132167199,1.6025694285532022,-3.1879218931187876
2015-09-15,1.188612077664608,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.8529618586678085,1.5131177736136063,-3.339844085054202
2015-09-16,0.5350029122928035,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.863076896451124,1.4224063000913916,-3.440670596359733
2015-09-17,0.02942395850933366,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.835225279599611,1.4255559410390566,-3.4096693385605548
2015-09-18,-1.4032004741819648,7.990655136588565,-0.29117820675956807,-0.13,-0.4,4.911782791997834,1.4866602605029604,-3.425122531494874
2015-09-21,0.2833728115295031,7.990655136588565,-0.29117820675956807,-0.13,-0.41,4.893878691670748,1.417366773784602,-3.476511917886146
2015-09-22,-1.4408641417174906,7.990655136588565,-0.29117820675956807,-0.13,-0.41,4.624786093894377,1.548394457761134,-3.076391636133243
2015-09-23,-0.013344354134403602,7.990655136588565,-0.29117820675956807,-0.13,-0.41,3.7533761018125347,1.497999257687316,-2.2553768441252187
2015-09-24,-0.29127673861442105,7.990655136588565,-0.29117820675956807,-0.13,-0.41,3.0822150656384677,1.5572135658039374,-1.5250014998345303
2015-09-25,-0.8569590068420396,7.990655136588565,-0.29117820675956807,-0.13,-0.41,3.1016852301533997,1.5849310234853595,-1.5167542066680402
2015-09-28,-2.912476621868443,7.990655136588565,-0.29117820675956807,-0.13,-0.42,2.3791544220194925,1.826198345422916,-0.5529560765965764
2015-09-29,-0.4910353096418518,7.990655136588565,-0.29117820675956807,-0.13,-0.42,2.114367486918397,1.8230487044752512,-0.2913187824431456
2015-09-30,2.364216048958312,7.990655136588565,-0.29117820675956807,-0.13,-0.42,2.3679875073715415,1.6895011943512457,-0.6784863130202958
2015-10-01,0.28421021162454707,-14.574385065402673,-0.46166690076905326,-0.26,-0.42,2.2985941339603873,1.6113885365960052,-0.687205597364382
2015-10-02,1.7609585718147969,-14.574385065402673,-0.46166690076905326,-0.26,-0.42,1.9926662076336419,1.4935895461807174,-0.4990766614529245
2015-10-05,1.4881277316410646,-14.574385065402673,-0.46166690076905326,-0.26,-0.44,1.7606614681574166,1.4375248790117607,-0.3231365891456559
2015-10-06,-0.5725787294577955,-14.574385065402673,-0.46166690076905326,-0.26,-0.44,1.7638189346758062,1.4268158856098325,-0.33700304906597367
2015-10-07,0.6194295262950789,-14.574385065402673,-0.46166690076905326,-0.26,-0.44,1.7173146132777608,1.3720111000175734,-0.3453035132601874
2015-10-08,0.3844014601028789,-14.574385065402673,-0.46166690076905326,-0.26,-0.44,1.367776513779935,1.3172061884371569,-0.050570325342778055
2015-10-09,0.4554939150871462,-14.574385065402673,-0.46166690076905326,-0.26,-0.44,1.3149301763314123,1.2913786161148597,-0.02355156021655258
2015-10-12,0.286779811012039,-14.574385065402673,-0.46166690076905326,-0.26,-0.46,1.2729984278807465,1.1975174386509015,-0.07548098922984492
2015-10-13,-0.6781576674141476,-14.574385065402673,-0.46166690076905326,-0.26,-0.46,1.2761547959302257,1.2693306885226545,-0.006824107407571223
2015-10-14,-0.1383934926684205,-14.574385065402673,-0.46166690076905326,-0.26,-0.46,1.2719160194434245,1.3046073096761037,0.03269129023267925
2015-10-15,1.626941831126949,-14.574385065402673,-0.46166690076905326,-0.26,-0.46,1.3280133399298124,1.1383030045461227,-0.18971033538368975
2015-10-16,0.4606594973001421,-14.574385065402673,-0.46166690076905326,-0.26,-0.46,1.324648751579405,1.0834982189538636,-0.24115053262554142
2015-10-19,0.5269200794804973,-14.574385065402673,-0.46166690076905326,-0.26,-0.48,1.3372296152532857,1.0620802321500074,-0.2751493831032783
2015-10-20,-0.5368322321896102,-14.574385065402673,-0.46166690076905326,-0.26,-0.48,1.2608304004702486,1.130743778080017,-0.13008662239023172
2015-10-21,-0.5571860603748036,-14.574385065402673,-0.46166690076905326,-0.26,-0.48,1.2712920439048787,1.1956276162858555,-0.07566442761902326
2015-10-22,2.012018263729054,-14.574385065402673,-0.46166690076905326,-0.26,-0.48,1.3609342265726967,0.9845974521890369,-0.37633677438365976
2015-10-23,2.64868169244874,-14.574385065402673,-0.46166690076905326,-0.26,-0.48,1.6798131645784176,1.045701708658862,-0.6341114559195555
2015-10-26,0.146089661190274,-14.574385065402673,-0.46166690076905326,-0.26,-0.49,1.6769268032442737,1.1181448993189638,-0.5587819039253099
2015-10-27,0.1807942156286657,-14.574385065402673,-0.46166690076905326,-0.26,-0.49,1.645031703653232,1.128853892720892,-0.51617781093234
2015-10-28,0.8446261876759564,-14.574385065402673,-0.46166690076905326,-0.26,-0.49,1.2918895820158598,1.0671197584567969,-0.22476982355906294
2015-10-29,-0.16729125166783376,-14.574385065402673,-0.46166690076905326,-0.26,-0.49,1.2822018859962925,1.0816083335947386,-0.20059355240155385
2015-10-30,-0.4706157425768964,-14.574385065402673,-0.46166690076905326,-0.26,-0.49,1.038200142860345,1.089797500849193,0.051597357988848014
2015-11-02,1.1780595252457005,10.233135771871282,-0.750309217680023,-0.35,-0.49,1.097611451979911,1.0431818825113883,-0.05442956946852262
2015-11-03,0.32112797643097934,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.9613454558707585,1.05641070206079,0.09506524619003154
2015-11-04,-0.03179111278690527,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8607312071968063,1.0847579745424034,0.22402676734559712
2015-11-05,-0.3110236828472779,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8502261767360964,1.0834982189538636,0.2332720422177672
2015-11-06,0.09203014963485856,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8331705681177176,1.0305831927325717,0.1974126246148541
2015-11-09,-1.1046003744208832,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8819150001468781,1.1357833043868064,0.25386830423992834
2015-11-10,-0.29664793595305383,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8764843315661413,1.0910574454199693,0.21457311385382805
2015-11-11,-0.10324840664246437,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.8732305849056915,1.1162550139598388,0.24302442905414734
2015-11-12,-1.040773341964929,10.233135771871282,-0.750309217680023,-0.35,-0.49,0.901562917972612,1.1918479715557633,0.29028505358315126
2015-11-13,-1.9094050060481038,10.233135771871282,-0.750309217680023,-0.35,-0.49,1.066411768804821,1.3379942344526643,0.2715824656478434
2015-11-16,1.3968643402410663,10.233135771871282,-0.750309217680023,-0.35,-0.48,1.0347885989487482,1.1836588043013088,0.14887020535256057
2015-11-17,0.0076573846341077,10.233135771871282,-0.750309217680023,-0.35,-0.48,1.0251454836345033,1.218305484666409,0.19316000103190567
2015-11-18,1.9008631390860842,10.233135771871282,-0.750309217680023,-0.35,-0.48,1.1767652974243428,1.1187748401073125,-0.05799045731703023
2015-11-19,0.04103985628223228,10.233135771871282,-0.750309217680023,-0.35,-0.48,1.163742362164615,1.1301138372916681,-0.033628524872946874
2015-11-20,0.6639015561306749,10.233135771871282,-0.750309217680023,-0.35,-0.48,1.1696654971808302,1.0727892255519353,-0.0968762716288949
2015-11-23,-0.2471882196585895,10.233135771871282,-0.750309217680023,-0.35,-0.46,0.9884329754698623,1.0904274416375417,0.10199446616767938
2015-11-24,-0.11514915096366707,10.233135771871282,-0.750309217680023,-0.35,-0.46,0.6701486399723411,1.1011364980335487,0.43098785806120765
2015-11-25,0.07428001368072756,10.233135771871282,-0.750309217680023,-0.35,-0.46,0.669429336850783,1.069639458616113,0.4002101217653301
2015-11-27,0.1623019257628755,10.233135771871282,-0.750309217680023,-0.35,-0.46,0.6691409444281263,1.079088507447265,0.4099475630191386
2015-11-30,-0.3415837070008365,10.233135771871282,-0.750309217680023,-0.35,-0.44,0.6420175822454177,1.1401928269111687,0.498175244665751
2015-12-01,1.101220113115886,-2.243407286227228,-0.5032847058117795,-0.29,-0.44,0.695867553820253,1.080348452018041,0.3844808981977881
2015-12-02,-0.636860901463443,-2.243407286227228,-0.5032847058117795,-0.29,-0.44,0.7042363097589632,1.1231844256257535,0.41894811586679026
2015-12-03,-1.7103713986733382,-2.243407286227228,-0.5032847058117795,-0.29,-0.44,0.7741247677761298,1.2422431716295814,0.4681184038534516
2015-12-04,2.3463833219715013,-2.243407286227228,-0.5032847058117795,-0.29,-0.44,1.0196880185206465,1.0494813533889542,0.029793334868307708
2015-12-07,-0.4782287783131167,-2.243407286227228,-0.5032847058117795,-0.29,-0.42,1.0300376589549476,1.1086957874937333,0.07865812853878573
2015-12-08,0.02449627654943498,-2.243407286227228,-0.5032847058117795,-0.29,-0.42,1.0256678560582613,1.1868084452489733,0.16114058919071206
2015-12-09,-1.5591296483718153,-2.243407286227228,-0.5032847058117795,-0.29,-0.42,1.1357776611487251,1.288228975167195,0.15245131401846979
2015-12-10,0.4513604929769599,-2.243407286227228,-0.5032847058117795,-0.29,-0.42,1.0895769478509818,1.2668109883633387,0.17723404051235692
2015-12-11,-2.2982000234339495,-2.243407286227228,-0.5032847058117795,-0.29,-0.42,1.3256552819331,1.5357955790000812,0.21014029706698123
2015-12-14,0.715881372201288,-2.243407286227228,-0.5032847058117795,-0.29,-0.39,1.3484655503690361,1.4557932248679524,0.10732767449891623
2015-12-15,0.5927467792693264,-2.243407286227228,-0.5032847058117795,-0.29,-0.39,1.3151991683230957,1.3550026357380796,0.03980346741498386
2015-12-16,1.451780593840546,-2.243407286227228,-0.5032847058117795,-0.29,-0.39,1.2452827781199343,1.1836588043013088,-0.0616239738186255
2015-12-17,-1.4341619406742723,-2.243407286227228,-0.5032847058117795,-0.29,-0.39,1.250082345712729,1.2775199817652667,0.027437636052537684
2015-12-18,-1.8284352526720227,-2.243407286227228,-0.5032847058117795,-0.29,-0.39,1.4020422019706549,1.3543726949497308,-0.047669507020924096
2015-12-21,1.0075636363820806,-2.243407286227228,-0.5032847058117795,-0.29,-0.36,1.2839469205080767,1.2737402110470168,-0.010206709461059837
2015-12-22,0.62755525128253,-2.243407286227228,-0.5032847058117795,-0.29,-0.36,1.30177152612665,1.157831105990854,-0.1439404201357961
