Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.659266654786037,0.549809114067561,0.660385868276669,-1.16036626138213,-1.28064869983443,-0.702478906407787
01/15/1971,0.695452178307267,0.592864550137436,0.693285499830618,-1.16218670134469,-1.29941011524306,-0.709555388862243
01/22/1971,0.737739321680701,0.657943245758732,0.732821507373272,-1.16477762007528,-1.31954653967164,-0.718270858295229
01/29/1971,0.7833693410489,0.73840529384158,0.776470410490025,-1.16851035019891,-1.34097423542552,-0.728824320909009
02/05/1971,0.82972793362086,0.82608043202304,0.821895721673555,-1.1738572567842,-1.36351472255655,-0.741365632701122
02/12/1971,0.873290238500646,0.909381344471179,0.865947615963968,-1.18140567575241,-1.38688701241242,-0.755973088670283
02/19/1971,0.91198008020477,0.978265303754488,0.906959625510386,-1.19179952177602,-1.41074964729606,-0.772651313059206
02/26/1971,0.946005751052252,1.02738092525636,0.945488448650174,-1.20568938798388,-1.43467025676837,-0.791331186754431
03/05/1971,0.977962757806607,1.0566963439574,0.984442270801508,-1.22370223496894,-1.45819619812632,-0.811865983934319
03/12/1971,1.01082433148134,1.06944834305136,1.0270623217074,-1.2464600392649,-1.48083461448635,-0.834028813045266
03/19/1971,1.04818355644817,1.07508119827475,1.07710793154674,-1.27452225856474,-1.50211455720678,-0.857498413092797
03/26/1971,1.0943871559433,1.09015671062963,1.13878225862232,-1.30826761167321,-1.52151960798305,-0.881849235681114
04/02/1971,1.15153698231414,1.13104578231771,1.21388921125012,-1.34780103264062,-1.53857367530177,-0.906568166460335
04/09/1971,1.22009295984227,1.21266237041772,1.30219087185949,-1.39298772321289,-1.55280160817212,-0.931090257197194
04/16/1971,1.29680905321326,1.33992875134502,1.399615917862,-1.4430863105756,-1.56381696757482,-0.954756882243064
04/23/1971,1.37491772020496,1.50492164012787,1.49846725275799,-1.49693364092722,-1.57137667060727,-0.977000844307355
04/30/1971,1.44523000747209,1.68688460571841,1.58865860270686,-1.55298142045305,-1.57538473371969,-0.997300710297023
05/07/1971,1.49667873956816,1.85451373050504,1.658539004111,-1.60954475647558,-1.57590836498962,-1.01522782867643
05/14/1971,1.51675575660096,1.96901441038875,1.69534968980245,-1.66489935525551,-1.57317671442355,-1.03046586912762
05/21/1971,1.49814272155556,2.00010409594286,1.69170381087718,-1.71744796087372,-1.56745579070081,-1.0428019507711
05/28/1971,1.43953423046156,1.9320610884636,1.64628001982064,-1.76569513613527,-1.55902792078706,-1.0521119376599
06/04/1971,1.34552606358468,1.76201397340902,1.56379161189694,-1.80834838969401,-1.54821821495683,-1.05835858460541
06/11/1971,1.22513674246851,1.50061819499206,1.45327693928644,-1.8442087815645,-1.53531908834149,-1.06158911907597
06/18/1971,1.0969761562445,1.18321266043274,1.33303311716863,-1.87206738848401,-1.52066229891111,-1.06194014348489
06/25/1971,0.980951659628506,0.854383252584062,1.22263796979592,-1.89089649066316,-1.50463470871285,-1.05963898798659
07/02/1971,0.897499959620877,0.566514905756105,1.14229300189225,-1.89998616888101,-1.48770316987981,-1.05498059741995
07/09/1971,0.866282267845897,0.377492032886313,1.11119798140965,-1.89879695964455,-1.47028866474967,-1.0482816527266
07/16/1971,0.901266674597548,0.335764697160784,1.14298920731967,-1.88706938905986,-1.45287605472829,-1.03990873818476
07/23/1971,1.00787400069475,0.46873324143375,1.2428555936893,-1.86493194689467,-1.43586845452611,-1.03019013819393
07/30/1971,1.18091108962775,0.774024167332545,1.40546593386377,-1.83273964375634,-1.41961781681535,-1.01942052451587
08/06/1971,1.40298644310529,1.21228518497371,1.61366368318124,-1.79123339206135,-1.4044668699243,-1.00786587062786
08/13/1971,1.64792115109314,1.71660695960257,1.84185040010362,-1.74156982256543,-1.39071233865218,-0.995756267667582
08/20/1971,1.88678827154425,2.20921650927469,2.0619408138774,-1.6853005539542,-1.37861666345844,-0.98328707703567
08/27/1971,2.08841366879755,2.61000844019434,2.24412717448026,-1.62447504191241,-1.36845712930041,-0.970622405848564
09/03/1971,2.23311903115175,2.87107809374345,2.369634388249,-1.56113985366898,-1.36040386470904,-0.95789469869041
09/10/1971,2.30629514997387,2.9646946678947,2.42486391020716,-1.49748230627747,-1.35466177667694,-0.945206611821874
09/17/1971,2.30822237734707,2.90128836180399,2.41067568743167,-1.43552870674412,-1.351389096117,-0.932637701744823
09/24/1971,2.24465353312024,2.70853692816463,2.33323428473373,-1.3771070062506,-1.35074111083145,-0.920249529800108
10/01/1971,2.13064979409063,2.43047432909299,2.20776283847349,-1.32377056570121,-1.35287790516747,-0.908093974249124
10/08/1971,1.98368619988438,2.11456122394186,2.05187403233773,-1.27688526944364,-1.35789197197819,-0.896217337535028
10/15/1971,1.82518044261085,1.81058688728159,1.88702109945631,-1.237566617861,-1.36581974518068,-0.884668950539478
10/22/1971,1.67456584625213,1.55881415833295,1.73266913607265,-1.20673779431001,-1.3765505293843,-0.873467565109867
10/29/1971,1.54759776827934,1.38869696504485,1.60440698055776,-1.18493575817108,-1.38981903398441,-0.862621274398994
11/05/1971,1.45422893890381,1.31284003711418,1.51201509624899,-1.17246511770509,-1.40521494353839,-0.852117786050844
11/12/1971,1.39678820969841,1.32550088773971,1.45762096496072,-1.16936139265035,-1.42216286437614,-0.841927106625194
11/19/1971,1.3723313887721,1.40988367326777,1.43788161418797,-1.17534014806833,-1.43989630127515,-0.832011430373309
11/26/1971,1.3712870836546,1.53541382433159,1.44290870968518,-1.18997545112076,-1.45754541788104,-0.822332970985574
