Date;P_I;EU_H;C_H;SO_I;CFNAI;CFNAI_MA3;DIFFUSION
1967:03;-0,25;-0,07;-0,01;-0,01;-0,34;;
1967:04;0,16;-0,10;0,01;-0,07;0,01;;
1967:05;-0,43;0,00;-0,06;-0,08;-0,55;-0,30;-0,20
1967:06;-0,09;0,03;0,08;0,02;0,04;-0,17;-0,18
1967:07;-0,19;0,09;-0,07;-0,16;-0,32;-0,28;-0,24
1967:08;0,58;0,21;-0,02;0,21;0,98;0,23;0,13
1967:09;-0,05;-0,05;0,12;-0,07;-0,05;0,20;0,09
1967:10;0,21;-0,01;-0,12;-0,07;0,02;0,32;0,15
1967:11;0,52;0,32;0,10;0,37;1,31;0,43;0,19
1967:12;0,33;0,15;0,15;0,33;0,96;0,76;0,49
1968:01;-0,10;-0,21;-0,04;-0,13;-0,47;0,60;0,40
1968:02;0,12;0,34;0,03;-0,09;0,40;0,30;0,28
1968:03;0,07;0,05;0,17;0,08;0,37;0,10;0,18
1968:04;0,04;0,16;-0,03;-0,07;0,10;0,29;0,30
1968:05;0,35;0,17;0,05;0,05;0,62;0,36;0,31
1968:06;0,04;0,06;0,08;0,07;0,25;0,32;0,29
1968:07;-0,11;0,11;0,09;0,12;0,21;0,36;0,28
1968:08;0,14;0,12;0,05;-0,30;0,00;0,16;0,24
1968:09;0,05;0,14;-0,06;0,35;0,48;0,23;0,29
1968:10;0,11;0,18;0,09;0,13;0,51;0,33;0,45
1968:11;0,43;0,18;0,10;0,06;0,77;0,59;0,53
1968:12;0,00;0,15;-0,04;-0,11;0,00;0,43;0,44
1969:01;0,20;0,08;0,11;-0,09;0,30;0,36;0,40
1969:02;0,20;0,19;0,07;0,02;0,49;0,26;0,37
1969:03;0,26;0,17;-0,05;0,09;0,48;0,42;0,48
1969:04;-0,23;0,10;0,05;0,12;0,04;0,33;0,37
1969:05;-0,16;0,11;0,08;-0,06;-0,02;0,16;0,22
1969:06;0,25;0,16;-0,04;-0,02;0,35;0,12;0,18
1969:07;0,20;0,02;-0,03;-0,03;0,15;0,16;0,18
1969:08;-0,01;0,17;0,08;0,17;0,41;0,31;0,26
1969:09;-0,08;-0,13;0,05;0,06;-0,10;0,15;0,06
1969:10;-0,05;0,05;0,03;0,14;0,17;0,16;0,06
1969:11;-0,40;-0,07;-0,06;-0,27;-0,79;-0,24;-0,18
1969:12;-0,16;0,04;-0,02;-0,10;-0,23;-0,29;-0,19
1970:01;-0,75;-0,25;-0,04;-0,28;-1,31;-0,78;-0,45
1970:02;-0,07;-0,06;0,02;-0,04;-0,15;-0,57;-0,38
1970:03;-0,14;-0,08;-0,09;-0,26;-0,57;-0,68;-0,48
1970:04;-0,19;-0,32;0,01;-0,19;-0,69;-0,47;-0,45
1970:05;-0,14;-0,36;0,06;0,13;-0,31;-0,53;-0,50
1970:06;-0,15;-0,20;0,03;0,05;-0,27;-0,43;-0,44
1970:07;0,05;-0,05;0,02;-0,05;-0,02;-0,20;-0,28
1970:08;-0,30;-0,22;0,01;-0,06;-0,57;-0,29;-0,36
1970:09;-0,35;-0,22;0,04;-0,09;-0,61;-0,40;-0,39
1970:10;-0,80;-0,58;-0,02;-0,32;-1,73;-0,97;-0,52
1970:11;-0,37;-0,26;-0,12;-0,23;-0,99;-1,11;-0,53
1970:12;0,74;0,20;0,19;0,46;1,60;-0,37;-0,26
1971:01;0,18;0,02;0,25;0,08;0,53;0,38;0,07
