"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Electrical equipment, appliance, and component  (NAICS = 335); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G335.A,IP.G335.A,,,,,,,,,,,,,80.3942,90.4596,88.3254,70.9689,80.0283,88.2872,93.6668,97.5216,91.7197,90.5766,81.5725,84.3271,94.9222,93.4203,95.1538,96.4156,101.1885,99.4269,96.8772,91.8471,97.3727,103.4061,110.9674,113.6774,117.0807,121.4362,125.9311,127.8747,134.3434,120.9539,111.5721,108.7735,110.6585,112.5376,113.2277,117.9602,113.2380,89.1977,92.7515,97.2956,99.5905,99.5557,101.3381,100.8596,100.6086,100.0000,101.1523,100.3006,96.3108,101.0348,103.8055
"Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3361T3.A,IP.G3361T3.A,,,,,,,,,,,,,37.1298,42.4448,36.4923,31.8228,40.6054,46.1777,48.1645,44.0407,32.4320,31.5740,28.4649,36.3373,43.5225,45.2026,45.1861,46.8720,50.0755,49.5412,46.5806,44.5426,50.7198,56.0282,64.3660,66.2520,66.7852,72.0659,75.8401,84.0085,83.5866,76.3787,84.0266,87.0506,87.4778,88.0054,86.6638,85.9920,68.8118,50.4323,66.9319,73.1649,80.9095,86.7712,94.7162,99.6978,100.9521,100.0000,104.1418,102.3244,88.0797,94.3756,101.6928
"Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G3364T9.A,IP.G3364T9.A,,,,,,,,,,,,,51.2229,58.3707,59.3424,56.3554,52.7496,53.1859,58.6364,68.2718,73.4796,69.9038,65.4615,62.5381,66.7077,71.2799,74.9964,77.7582,81.8115,86.7520,87.0658,84.0067,77.7214,72.4515,65.0401,61.8000,64.2135,71.6611,83.0597,79.9374,70.1548,74.5848,70.6171,67.4593,66.4464,73.9904,78.5687,92.2645,94.0426,85.6335,86.7520,86.6458,95.7760,98.5958,102.2473,102.3248,95.3035,100.0000,99.7763,91.3289,75.6378,80.5186,85.5751
"Furniture and related product  (NAICS = 337); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G337.A,IP.G337.A,,,,,,,,,,,,,73.3629,76.9197,71.0652,61.0337,67.9772,77.8902,83.9547,83.7746,80.8810,80.2198,75.5923,82.8555,92.7862,93.7798,97.9535,105.0371,103.9774,103.5732,101.5026,93.8215,101.1685,105.4731,108.9767,110.7159,111.6672,123.6835,132.5025,136.8375,139.2138,130.5193,134.9818,132.9187,136.6609,141.7176,139.7018,134.4440,121.3793,88.0509,86.9356,89.8454,94.5795,95.3463,95.8353,100.5621,100.8263,100.0000,101.1238,94.5366,87.5798,88.7361,90.5751
"Miscellaneous  (NAICS = 339); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G339.A,IP.G339.A,,,,,,,,,,,,,41.4409,42.7327,41.7599,38.9044,42.4161,46.1994,47.2190,47.4836,45.0276,46.7007,47.2404,47.2030,51.1172,51.7921,53.0870,57.0911,62.4239,63.2902,66.3439,67.5904,70.4704,74.5520,75.0437,77.9068,81.7371,84.0308,88.9206,90.9385,95.9628,94.9932,100.4241,103.4895,103.5160,110.3082,113.7940,110.9198,112.7501,104.5070,108.2673,107.7217,104.7253,108.0614,104.7538,105.1772,105.4583,100.0000,103.4843,100.1099,91.9674,102.0214,108.8174
"Nondurable manufacturing (NAICS); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFN.A,IP.GMFN.A,,,,,,,,,,,,,64.2762,67.2643,67.5768,62.5916,68.3439,72.9859,75.6481,76.0864,73.7607,74.4179,73.3426,76.7515,80.2709,80.7099,83.0363,87.4804,90.4353,90.9695,92.4585,92.1394,94.5718,95.9082,99.2114,100.9589,101.2714,105.0588,106.7231,107.3526,107.8623,104.7882,106.0132,106.1982,107.8594,110.5712,111.2115,112.5336,105.8484,97.7184,99.8275,99.9607,100.0137,99.9725,99.3465,99.6618,100.4671,100.0000,99.6287,98.7060,94.8627,98.5373,100.0166
"Food, beverage, and tobacco  (NAICS = 311,2); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G311A2.A,IP.G311A2.A,,,,,,,,,,,,,60.8149,61.3958,62.4771,61.1666,65.3689,66.7522,69.1299,68.7054,69.8012,70.4555,72.6085,72.6812,73.6624,76.0446,76.9880,78.5749,80.7564,80.3601,82.6223,83.2518,84.4950,84.3101,87.0309,89.4528,88.8029,90.7827,93.6603,91.9366,93.2045,93.0729,92.1580,93.7649,94.0985,97.5348,97.6919,97.8989,95.1567,94.5052,94.7618,94.5810,94.9567,96.5265,96.4829,98.5519,99.7264,100.0000,99.7764,99.8584,100.1180,101.6003,102.7474
"Textiles and products  (NAICS = 313,4); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G313A4.A,IP.G313A4.A,,,,,,,,,,,,,171.0836,169.7098,155.9817,150.7719,168.1412,183.6432,183.1529,182.7277,175.3216,171.5451,159.3552,179.0818,183.3872,176.9735,183.7616,201.6612,199.7905,202.8291,194.6858,191.9900,202.6015,210.3958,221.6322,219.2089,213.9729,225.8586,224.1141,224.9464,220.4481,197.3604,198.3383,190.4219,188.0643,190.7513,172.9965,153.0099,134.5200,106.6272,113.8151,111.3523,108.0036,111.9645,114.2345,108.9630,106.8913,100.0000,98.5821,95.5679,87.9665,92.2202,89.5368
"Apparel and leather goods  (NAICS = 315,6); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G315A6.A,IP.G315A6.A,,,,,,,,,,,,,632.7701,643.0864,605.0519,590.5561,620.9632,651.0611,665.3742,624.2904,636.1805,636.0822,632.2736,650.1876,649.6260,621.7624,619.8827,627.2989,616.7704,590.1333,578.0786,574.4610,590.9479,602.7750,610.1211,605.6515,591.7117,591.1618,562.7179,535.9638,516.7724,454.2096,357.6318,332.9938,292.3439,285.8060,279.4544,227.7632,183.4691,135.3330,136.4827,134.2849,126.6498,117.4289,112.5148,107.3188,102.5013,100.0000,96.3993,96.7004,82.2357,92.1098,93.0110
"Paper  (NAICS = 322); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G322.A,IP.G322.A,,,,,,,,,,,,,78.9232,85.3395,89.1264,77.1550,85.1454,88.8587,92.8662,94.2692,94.0241,95.3237,93.7384,99.7545,104.7426,102.5270,106.5888,109.9623,114.2682,115.4832,115.4335,115.6931,118.5431,119.9121,125.0304,126.8362,122.9147,125.4480,126.4701,127.4230,124.0706,117.0598,118.4700,115.6825,116.6239,116.1964,114.9223,115.4090,110.5139,98.6165,100.6209,100.5792,103.3402,103.5874,102.5949,101.8590,100.9434,100.0000,99.1431,99.1338,95.0595,95.0953,93.4794
