"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Other electrical equipment and component  (NAICS = 3359); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3359.A,IP.G3359.A,,,,,,,,,,,,,58.0131,66.4323,67.4922,51.7799,62.2082,67.2699,71.9074,77.8144,74.0128,75.5887,67.8419,72.1086,83.0744,82.9525,84.9017,88.3705,91.4410,87.8116,86.5238,82.5869,88.3222,94.1610,99.6080,102.2831,107.9203,114.3981,121.8170,130.7917,141.9201,122.9031,107.3679,103.6788,102.0843,105.2144,105.2721,110.9673,107.4530,82.7811,94.2399,100.8965,104.6423,105.8886,106.5054,107.4581,106.5494,100.0000,99.3274,98.0879,96.3563,98.4832,101.8266
"Battery  (NAICS = 33591); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G33591.A,IP.G33591.A,,,,,,,,,,,,,45.6452,49.5809,53.3292,47.5610,57.3738,65.5845,70.7498,70.2760,65.9392,67.1981,63.8118,71.0190,84.2653,83.7291,88.3569,92.6093,97.0147,86.2373,84.9793,81.2257,86.2061,95.4765,98.7916,96.2612,98.3844,107.3865,108.0090,118.7677,120.4671,104.3673,96.3394,99.0867,92.6384,95.5187,102.5980,109.8625,110.1852,104.0111,118.0231,123.2070,117.4470,111.9881,123.6704,123.7029,118.1564,100.0000,96.7162,91.5546,81.7218,95.8148,98.7066
"Communication and energy wire and cable  (NAICS = 33592); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N33592.A,IP.N33592.A,,,,,,,,,,,,,89.8809,102.2088,96.8846,74.8525,86.4823,99.2785,110.2999,110.0140,104.5385,113.4896,107.6618,110.7405,129.0854,127.6510,127.3841,143.0610,136.9722,130.1028,127.3318,122.4256,141.1155,154.8408,169.1564,167.5341,186.7320,205.2684,215.3955,243.1728,277.6192,230.4973,172.0329,154.6693,149.8883,158.7913,150.3004,140.7882,130.2300,102.5591,112.5065,122.0214,121.4900,113.0707,122.4869,124.6449,129.1158,100.0000,99.6415,104.6906,100.8406,99.0194,105.3263
"Other electrical equipment  (NAICS = 33593,9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G33593T9.A,IP.G33593T9.A,,,,,,,,,,,,,51.9801,60.8377,62.7956,45.6590,55.6607,57.5987,60.4211,69.7707,66.7122,66.6265,57.4272,60.7589,68.9366,69.2261,70.6932,71.1842,75.8580,75.3161,74.4303,70.7961,73.5212,76.3577,80.1108,85.0881,88.3604,91.0986,99.4972,103.4140,111.5216,98.9797,91.9854,89.7629,90.1645,91.9184,92.4460,101.6951,99.1332,70.8696,82.0907,88.3568,96.4411,102.7537,97.3661,98.2410,97.1128,100.0000,99.9298,98.1909,99.0922,99.1136,101.7605
"Transportation equipment  (NAICS = 336); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336.A,IP.G336.A,,,,,,,,,,,,,41.9351,47.8794,44.1474,40.0113,44.7804,48.6652,51.8245,52.3010,46.3397,44.5660,40.9900,45.2731,51.4008,54.0888,55.3745,57.4288,60.9351,62.1617,60.2175,57.8248,59.9850,61.7312,64.5827,64.6603,65.8566,71.8642,78.2290,82.3406,78.5614,75.6638,78.9981,79.7847,79.6745,82.9600,83.9689,89.1379,79.8284,65.4526,75.8262,79.3130,87.6887,92.1756,98.1562,100.8701,98.3724,100.0000,102.0977,97.1861,82.3289,87.9927,94.3269
"Motor vehicle  (NAICS = 3361); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3361.A,IP.G3361.A,,,,,,,,,,,,,32.2086,37.6662,30.9021,28.9751,37.8571,43.3393,44.9444,41.5052,29.6002,30.1289,27.4900,37.4728,46.1167,48.0692,48.8615,50.0029,52.4238,53.5489,49.7716,47.0475,51.6319,55.6758,64.2470,64.7308,64.1225,69.5594,73.6497,81.9433,80.5811,75.0127,84.0923,90.6293,91.0447,90.5953,90.8535,89.9798,69.3284,49.5813,69.1390,76.5693,81.8171,89.0043,97.0495,103.1594,104.3547,100.0000,106.1015,106.7812,93.2652,97.8189,108.6771
"Automobile and light duty motor vehicle  (NAICS = 33611); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G33611.A,IP.G33611.A,,,,,,,,,,,,,31.5707,36.9700,30.3817,28.5328,37.3203,42.7904,44.3601,40.9474,29.2116,29.7215,27.1049,36.7634,45.0487,46.7693,47.3632,48.3079,50.2813,51.0050,47.0533,44.3616,48.4057,52.5899,61.1782,62.0818,61.9488,67.6122,70.6566,78.0858,77.5455,73.6703,82.3392,89.0726,88.5550,87.2216,86.9785,88.4348,67.4391,47.9099,67.0732,73.5592,78.6944,86.5441,95.0408,100.7363,104.2616,100.0000,104.5145,105.2932,94.2846,98.4083,109.2384
"Automobile  (NAICS = 336111); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336111.A,IP.G336111.A,,,,,,,,,,,,,105.4772,122.8895,100.4954,93.9060,122.1180,139.2730,142.2289,129.2705,90.8132,90.9380,81.5834,106.2927,125.2237,125.0142,121.5057,118.9505,116.4114,110.3519,95.0398,85.2198,87.3895,93.0139,106.7013,104.3947,101.1656,102.6164,105.6527,109.5510,107.5355,94.5575,98.5273,96.4977,95.7939,97.5903,103.2620,93.8335,91.5882,58.1151,82.9553,94.6678,118.1134,123.1477,130.9316,128.2425,132.1812,100.0000,108.2828,93.1580,86.6003,83.3246,102.0830
"Light truck and utility vehicle  (NAICS = 336112); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336112.A,IP.G336112.A,,,,,,,,,,,,,3.1515,3.9524,3.4496,3.4281,4.7605,5.7438,6.7717,7.0122,5.4926,6.1324,6.0936,9.8901,14.0292,16.4808,18.6647,20.9911,24.7889,28.2582,28.8086,28.8871,33.6171,37.2237,43.8366,45.8552,46.8268,54.0022,57.0888,66.4237,66.5813,67.1086,78.3829,88.3806,87.9129,85.3081,82.5297,88.1299,60.8200,45.3426,62.9882,67.7489,66.3091,75.1044,83.9160,92.3431,95.7430,100.0000,103.4194,108.8488,96.5289,102.7569,111.3906
"Heavy duty truck  (NAICS = 33612); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G33612.A,IP.G33612.A,,,,,,,,,,,,,36.4123,41.7226,33.3642,30.5198,39.1943,43.7965,45.6632,42.4617,30.1279,30.8516,28.3548,41.5828,54.4629,60.0800,64.3761,69.0316,79.7782,88.6580,90.0050,87.5887,102.0548,101.6759,106.9266,98.4505,88.1517,87.1239,108.9974,131.1600,113.2388,71.8041,87.3088,83.9878,111.8811,137.4332,151.3424,97.0400,90.3831,71.9257,95.2673,119.7418,125.9907,121.3758,122.9845,134.4613,105.5381,100.0000,125.2814,124.7662,80.4868,90.6675,102.0616
"Motor vehicle body and trailer  (NAICS = 3362); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3362.A,IP.G3362.A,,,,,,,,,,,,,66.8685,71.9254,61.4776,53.8279,70.6529,85.0556,92.0099,80.3988,58.9390,57.1097,52.3725,64.1849,67.6519,59.6289,52.8979,55.4540,55.9451,58.2272,57.4344,54.5723,70.3475,75.4139,80.7948,78.9308,72.8167,71.6066,78.5434,87.6852,82.9344,71.7859,71.3075,74.6293,83.7537,89.0565,92.8962,90.6434,70.5000,49.7519,56.9437,62.4651,71.2209,78.4279,86.7942,90.3482,89.1311,100.0000,102.5505,99.8147,85.2532,105.1903,105.4976
"Truck trailer  (NAICS = 336212); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336212.A,IP.G336212.A,,,,,,,,,,,,,49.1729,58.5029,63.5035,30.7292,41.6077,57.1095,69.0727,77.8542,54.5279,43.2489,33.1364,40.5936,60.6789,52.8067,49.4598,61.3890,63.1911,64.2720,52.3905,46.6982,56.8437,65.3100,80.4729,91.4059,71.0399,79.2906,90.2845,94.7770,87.0214,57.7598,54.5350,60.4553,73.3791,86.0806,93.8513,82.5560,63.7543,43.1629,54.1790,67.2700,76.2525,77.5040,87.6083,93.5121,86.0826,100.0000,105.7274,102.9777,83.7229,98.1015,117.7617
"Motor home  (NAICS = 336213); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N336213.A,IP.N336213.A,,,,,,,,,,,,,45.9790,46.8640,40.8329,43.7523,60.3474,87.3294,104.2675,43.8403,35.9949,41.7231,33.4309,68.4329,69.1299,62.3351,59.7071,80.0239,86.2124,75.9299,62.7585,55.9197,94.6624,101.1170,105.2615,93.3954,101.6803,96.9830,110.6831,129.5180,103.7492,72.9572,127.6029,135.8027,138.5333,129.0151,114.9484,117.7311,78.5679,31.6463,43.4909,45.2558,45.0414,63.0914,77.6921,79.3811,89.3298,100.0000,94.4710,81.5164,69.4737,102.0871,105.1061
"Travel trailer and camper  (NAICS = 336214); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336214.A,IP.G336214.A,,,,,,,,,,,,,36.0770,31.7546,22.3160,25.8183,32.1333,29.7523,30.7973,18.9413,14.1501,15.4880,17.2125,22.6140,19.8189,20.2472,21.7366,26.4022,23.6871,22.8987,22.8913,20.8815,27.6126,30.6367,33.9908,33.3001,34.1514,39.7862,45.0555,50.8474,53.4175,49.6559,55.0436,53.7745,67.0877,71.2620,77.1412,75.4840,54.9317,38.9330,47.8082,52.1456,65.5619,73.5504,83.1164,84.1714,79.7808,100.0000,101.8531,100.0568,83.9202,117.6185,104.4389
"Motor vehicle parts  (NAICS = 3363); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3363.A,IP.G3363.A,,,,,,,,,,,,,37.1377,42.1609,37.4346,31.2344,39.1033,43.8815,45.6642,41.7965,31.3748,29.8626,26.6888,33.0033,39.5503,41.8191,41.8661,43.8654,47.9557,45.7254,43.2237,41.8469,48.5735,54.9962,63.5243,66.9760,69.2610,75.1736,78.3334,86.3690,87.2917,79.0383,86.4232,85.8118,85.0864,85.8573,82.3185,82.0661,68.6897,51.8043,66.5157,71.6300,81.6209,85.9385,93.6923,97.7851,99.5741,100.0000,102.3796,98.1397,83.2541,88.3193,93.7930
"Aerospace product and parts  (NAICS = 3364); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3364.A,IP.G3364.A,,,,,,,,,,,,,47.2512,54.0174,53.8361,50.7054,46.8044,46.2345,51.8909,62.7499,70.5809,67.5698,65.1382,63.8507,68.4742,75.4528,81.7927,85.6210,89.8948,95.2822,95.6097,92.8719,84.1663,77.0820,67.2347,63.3243,66.4204,75.1993,89.0904,83.8350,70.3345,77.1560,70.1896,65.9119,63.6135,72.3800,77.3877,90.5620,89.5229,82.9491,85.7651,85.4536,95.0855,97.5373,102.5244,102.6513,95.5270,100.0000,99.7129,89.7097,70.5802,75.2069,80.1112
"Aircraft and parts  (NAICS = 336411-3); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G336411T3.A,IP.G336411T3.A,,,,,,,,,,,,,40.3236,46.3187,46.1435,43.1192,39.8759,42.3529,48.0327,59.7265,66.6382,61.6594,56.1667,52.9665,54.8543,58.0754,64.0813,71.4203,73.5419,79.2499,80.0429,81.0958,74.8383,67.9102,60.2540,56.9258,60.8479,69.5580,85.0732,78.5526,69.5917,75.5411,67.9731,62.2599,61.7532,67.0549,76.1245,89.7547,87.9569,80.4835,81.5565,82.0639,94.0548,96.0763,101.5974,101.7255,94.1727,100.0000,99.7869,86.6707,65.7647,70.6735,75.5835
"Railroad eq., ships and boats, and other transportation equipment  (NAICS = 3365-9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3365T9.A,IP.G3365T9.A,,,,,,,,,,,,,65.9256,74.4604,79.8500,77.4347,74.9898,79.1715,84.0308,89.8271,86.3311,80.7266,69.3620,60.5792,63.2689,58.9304,53.3033,52.4605,55.8370,59.3478,59.6197,55.4418,57.1034,57.7426,58.6522,57.7095,57.8372,61.1286,64.8997,68.6240,70.6822,67.5458,72.9067,73.2512,76.5049,79.9314,83.0972,98.6568,110.4343,95.4105,90.3451,90.9760,98.3402,102.4704,101.2620,101.1524,94.5056,100.0000,100.0424,98.0278,95.0603,100.9445,106.6810
"Railroad rolling stock  (NAICS = 3365); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3365.A,IP.N3365.A,,,,,,,,,,,,,142.3665,169.4907,191.8971,171.3091,146.4665,163.6267,197.3899,228.0219,198.3546,150.7533,94.8568,62.4663,73.8149,57.9406,46.4381,37.5562,48.7471,63.7821,64.3242,59.8543,59.7614,65.6457,78.4054,82.1350,77.3027,91.2160,100.5903,110.1855,103.4331,88.7251,83.1052,75.9652,87.9164,97.3932,111.5461,116.9809,136.9751,102.3945,94.4922,111.7503,143.5488,165.3278,185.7106,172.3967,124.7472,100.0000,98.7831,90.5633,72.0200,69.8918,73.5025
"Ship and boat building  (NAICS = 3366); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3366.A,IP.G3366.A,,,,,,,,,,,,,71.0862,77.9633,78.7875,83.7342,85.0969,86.1059,83.8419,84.9790,89.0906,96.6763,92.6549,80.4084,82.0893,79.0916,76.7678,77.8938,80.3849,81.4740,82.8367,74.2342,73.9377,70.3293,69.6058,67.4698,68.5141,70.2348,74.1054,78.6276,81.0019,77.4748,85.0158,86.8819,88.4662,88.3406,88.0713,93.6060,96.7996,89.4049,88.4254,87.3791,98.5390,102.2989,99.1187,98.8911,95.0652,100.0000,101.7298,100.8491,104.5306,108.8848,114.3523
"Other transportation equipment  (NAICS = 3369); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3369.A,IP.N3369.A,,,,,,,,,,,,,23.9047,25.8398,29.2562,25.8208,29.4399,31.7006,31.8568,31.5211,30.5568,27.9946,28.0878,34.1279,33.9481,33.6978,25.9522,26.5783,27.2302,28.8313,27.2652,29.7852,35.3798,39.6940,37.7676,36.5951,37.3771,38.6017,40.1391,40.5518,46.1043,48.3976,55.8716,57.1742,59.8472,66.9290,71.6241,110.6420,135.7060,112.8516,99.6955,95.1408,82.7834,80.0330,73.8828,79.3550,81.1897,100.0000,96.8843,95.2255,85.2599,97.9482,105.3058
"Furniture and related product  (NAICS = 337); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G337.A,IP.G337.A,,,,,,,,,,,,,73.3629,76.9197,71.0652,61.0337,67.9772,77.8902,83.9547,83.7746,80.8810,80.2198,75.5923,82.8555,92.7862,93.7798,97.9535,105.0371,103.9774,103.5732,101.5026,93.8215,101.1685,105.4731,108.9767,110.7159,111.6672,123.6835,132.5025,136.8375,139.2138,130.5193,134.9818,132.9187,136.6609,141.7176,139.7018,134.4440,121.3793,88.0509,86.9356,89.8454,94.5795,95.3463,95.8353,100.5621,100.8263,100.0000,101.1238,94.5366,87.5798,88.7361,90.5751
"Household and institutional furniture and kitchen cabinet  (NAICS = 3371); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3371.A,IP.N3371.A,,,,,,,,,,,,,91.4402,95.5988,88.3971,76.5587,85.8536,96.9475,105.2516,102.6358,95.7462,93.3245,85.0318,95.0013,105.1897,105.5245,111.7139,119.0341,119.1321,116.8942,116.0829,108.4378,116.3991,121.6595,126.6265,128.0434,129.3240,135.0562,145.1573,152.7400,153.6150,147.8113,154.3268,150.6105,154.9897,160.9951,158.3039,148.0187,130.3136,91.4537,91.6797,88.9129,91.5746,95.0474,94.9731,101.0686,102.6384,100.0000,101.5871,92.6648,90.5570,93.7657,95.4616
"Office and other furniture  (NAICS = 3372,9); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G3372A9.A,IP.G3372A9.A,,,,,,,,,,,,,54.7827,57.7512,53.2735,45.0689,49.5732,58.3130,62.0594,64.4177,65.6968,66.8866,66.0488,70.5579,80.2257,81.8848,84.0083,90.8455,88.6393,90.0568,86.7573,79.0714,85.7936,89.1339,91.1649,93.2259,93.8445,112.2545,119.7838,120.8592,124.7293,113.1447,115.4995,115.1560,118.2547,122.3528,121.0228,120.8484,112.5101,84.7450,82.3062,90.7999,97.5640,95.6236,96.6884,99.9923,98.8775,100.0000,100.6282,96.4520,84.5769,83.6339,85.6203
"Miscellaneous  (NAICS = 339); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.G339.A,IP.G339.A,,,,,,,,,,,,,41.4409,42.7327,41.7599,38.9044,42.4161,46.1994,47.2190,47.4836,45.0276,46.7007,47.2404,47.2030,51.1172,51.7921,53.0870,57.0911,62.4239,63.2902,66.3439,67.5904,70.4704,74.5520,75.0437,77.9068,81.7371,84.0308,88.9206,90.9385,95.9628,94.9932,100.4241,103.4895,103.5160,110.3082,113.7940,110.9198,112.7501,104.5070,108.2673,107.7217,104.7253,108.0614,104.7538,105.1772,105.4583,100.0000,103.4843,100.1099,91.9674,102.0214,108.8174
"Medical equipment and supplies  (NAICS = 3391); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N3391.A,IP.N3391.A,,,,,,,,,,,,,17.6848,19.4550,20.2746,20.1243,21.4288,22.2735,23.8085,24.6266,25.3042,26.7546,29.5310,30.3420,32.9631,35.5525,36.6116,39.7771,44.3587,45.1305,48.7596,51.6322,55.5323,58.9614,57.2022,59.2528,63.4869,65.7789,72.2841,73.5384,77.5954,80.7074,83.5332,88.2286,86.9862,95.1453,99.4144,98.8432,104.7708,103.5015,105.4673,104.8607,105.8926,109.9951,102.3747,103.9146,104.5401,100.0000,104.2355,101.0051,93.7534,102.7343,111.8770
"Logging  (NAICS = 1133); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.N1133.A,IP.N1133.A,,,,,,,,,,,,,70.0703,72.9183,80.5894,86.6262,85.9239,99.6192,94.4695,95.5588,114.5371,109.5082,115.3475,108.6358,112.7349,108.0493,105.3958,131.0302,125.4590,118.4450,113.3106,104.6505,113.7415,109.6945,109.7475,109.2691,106.9001,107.4848,106.5398,106.5312,106.1726,101.7189,100.9306,100.8430,97.6139,98.9525,96.1619,94.1205,84.0393,76.0279,78.8152,82.8983,86.2274,89.8105,92.8136,94.3528,97.5051,100.0000,102.0987,101.5663,100.3096,99.2508,105.3959
"Nondurable manufacturing (NAICS); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.GMFN.A,IP.GMFN.A,,,,,,,,,,,,,64.2762,67.2643,67.5768,62.5916,68.3439,72.9859,75.6481,76.0864,73.7607,74.4179,73.3426,76.7515,80.2709,80.7099,83.0363,87.4804,90.4353,90.9695,92.4585,92.1394,94.5718,95.9082,99.2114,100.9589,101.2714,105.0588,106.7231,107.3526,107.8623,104.7882,106.0132,106.1982,107.8594,110.5712,111.2115,112.5336,105.8484,97.7184,99.8275,99.9607,100.0137,99.9725,99.3465,99.6618,100.4671,100.0000,99.6287,98.7060,94.8627,98.5373,100.0166
"Food  (NAICS = 311); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G311.A,IP.G311.A,,,,,,,,,,,,,52.9028,52.9995,53.6699,52.5131,56.7647,57.8186,59.6021,59.0594,60.0540,60.8464,63.2016,63.8935,65.1681,67.5613,68.5863,70.0973,71.8822,72.0434,74.2903,75.6055,77.0314,79.0693,79.5646,81.6221,79.9311,82.1417,85.8128,86.7508,88.2402,88.3065,90.4381,91.0403,91.0184,93.8465,94.6495,95.1639,93.9485,93.3789,93.8088,93.6294,93.4046,95.2250,96.0674,97.5312,99.5554,100.0000,100.3456,101.1177,102.6444,103.0153,104.9062
"Animal food  (NAICS = 3111); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3111.A,IP.G3111.A,,,,,,,,,,,,,34.2672,33.3374,34.4884,34.9202,37.0805,40.1394,41.8222,41.3084,43.6196,44.4411,49.6482,49.7951,50.3094,55.7877,56.8249,56.5994,59.2903,62.7651,66.0403,66.0167,64.1519,65.0249,63.0141,67.6088,63.4829,71.9427,77.4951,76.1387,75.3208,80.7025,84.6311,95.7203,85.9464,93.3172,92.6501,91.9190,96.9003,99.6520,98.6166,95.4113,98.2286,100.0800,102.0208,100.5575,101.1461,100.0000,100.6787,97.1228,101.1812,99.6314,102.1354
"Grain and oilseed milling  (NAICS = 3112); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3112.A,IP.G3112.A,,,,,,,,,,,,,49.0165,48.2073,53.5104,55.5875,59.4208,61.3425,62.9572,63.6636,65.6499,67.3415,67.9017,69.1505,74.0147,81.3526,80.9161,80.2475,83.2830,85.4867,89.6529,90.8145,90.1956,93.5014,95.7813,98.3082,88.2505,93.3422,99.4023,102.7618,101.7826,102.0221,98.7844,100.5794,100.3473,99.0281,93.0474,97.8062,101.5734,108.3034,106.0488,99.9532,102.3525,104.5585,104.3220,107.8199,106.4856,100.0000,102.2260,103.2425,104.7745,102.8565,105.3305
"Sugar and confectionery product  (NAICS = 3113); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3113.A,IP.G3113.A,,,,,,,,,,,,,69.2435,72.4383,70.0939,61.9897,71.0784,77.2012,75.5594,76.0056,72.8327,80.0004,78.3917,75.7736,78.0007,78.4414,79.0318,81.9434,86.6480,88.7324,91.8628,95.5622,89.3976,91.0880,91.0818,92.1750,95.9617,97.8171,103.4222,101.3451,106.1155,104.9827,100.5332,100.1087,101.1976,104.4654,100.1729,94.3937,86.0779,82.2765,90.1446,87.6007,87.0545,90.7598,90.7683,95.1432,99.5504,100.0000,99.7600,102.3555,95.4870,105.3828,109.3048
"Fruit and vegetable preserving and specialty food  (NAICS = 3114); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3114.A,IP.G3114.A,,,,,,,,,,,,,66.4884,71.6455,69.6620,68.2153,71.1860,73.1501,76.4034,73.7264,73.6857,70.6566,72.3051,73.6958,76.5992,77.0708,79.4651,80.6060,80.9765,84.3162,86.9225,91.4186,91.5157,92.8954,94.5206,95.5804,95.2441,95.7646,100.2806,100.6840,102.0198,104.6114,105.3639,102.6556,101.8657,102.2087,103.5984,106.5845,103.4267,101.0795,97.2575,96.1598,99.4526,102.2508,101.8731,102.3335,100.3041,100.0000,98.4270,98.2116,102.2281,100.8436,102.2546
"Dairy product  (NAICS = 3115); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G3115.A,IP.G3115.A,,,,,,,,,,,,,63.1600,64.2955,66.9469,68.4871,69.8963,72.0963,71.1256,68.3806,69.8519,70.5315,72.0109,75.1883,75.3802,77.5092,79.7762,81.1638,85.1087,80.5916,80.7829,80.9965,81.6139,82.3787,81.4976,84.5083,81.7503,83.0402,82.4418,80.4811,83.5383,83.0230,89.3588,88.8286,87.2048,91.7204,92.3322,95.3993,96.0445,94.9600,97.1665,96.3901,99.1599,98.7541,98.5251,99.9101,101.0843,100.0000,103.5194,103.8187,107.2131,106.4488,106.1798
"Dairy product (except frozen)  (NAICS = 31151); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.G31151.A,IP.G31151.A,,,,,,,,,,,,,60.9360,61.6985,64.4934,65.9293,67.4943,69.6762,68.8513,65.7802,67.4125,68.0763,70.0289,73.1766,72.3231,74.5271,77.0517,78.1017,81.3694,76.6796,76.8092,76.6813,76.6661,77.0211,76.2250,78.4586,75.4560,78.2646,78.2698,77.4041,79.0389,78.0361,81.9621,83.3953,80.9043,83.8046,85.6348,89.6488,92.4973,92.4584,95.4748,95.7038,99.0850,98.7518,97.9552,99.8894,100.2210,100.0000,103.2744,104.0064,107.1964,105.2644,105.4215
"Fluid milk  (NAICS = 311511); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311511.A,IP.N311511.A,,,,,,,,,,,,,100.9775,105.6614,109.0552,112.2922,115.0630,116.8531,115.3375,108.2843,109.0458,104.8252,109.5145,109.5287,111.5836,112.8373,111.9428,114.4732,118.8922,113.0106,110.6179,105.9371,103.1401,102.9615,104.0401,106.4697,99.8863,94.6914,95.6470,94.3961,99.0784,95.5755,103.9299,108.3821,104.1411,107.6926,109.4714,108.9348,106.9441,109.6050,109.8452,108.6014,105.8689,105.2653,101.4004,99.2436,93.6076,100.0000,101.6141,100.3477,103.1350,104.2987,103.1373
"Creamery butter  (NAICS = 311512); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311512.A,IP.N311512.A,,,,,,,,,,,,,56.1148,56.0558,62.1546,61.0059,57.8037,43.6748,45.2173,41.0251,40.0765,40.8474,54.4683,56.4023,50.4627,51.9870,49.3570,45.9722,59.1169,51.6658,48.0707,46.7558,40.3313,38.3701,38.0225,38.6721,39.1441,43.2854,36.5278,40.8832,36.1277,40.1686,48.6358,50.0462,37.4642,42.9571,49.8073,51.9669,48.5246,51.8835,45.8111,43.4804,58.9396,56.1692,61.9575,81.3383,88.8349,100.0000,111.2064,114.5582,139.1044,124.8708,124.5698
"Cheese  (NAICS = 311513); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311513.A,IP.N311513.A,,,,,,,,,,,,,26.5195,27.0529,29.8546,30.2616,32.3070,31.7656,31.3274,31.9703,34.6830,37.8538,38.4562,39.0241,39.3175,41.7464,45.4419,48.2683,48.8908,48.9873,52.8521,55.6647,54.0377,55.5604,54.7962,57.9249,57.7327,61.1674,62.6717,61.9998,59.3051,60.1627,64.6076,64.0450,64.3934,69.6826,71.4736,78.3221,79.3540,80.4184,86.9794,86.2620,86.4563,88.2277,88.7169,94.5572,98.5348,100.0000,102.6723,109.5658,117.4569,114.7813,116.9704
"Dry, condensed, and evaporated dairy product  (NAICS = 311514); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_NONDURABLE_GOODS_DETAIL/IP.N311514.A,IP.N311514.A,,,,,,,,,,,,,54.0634,46.1833,47.8372,48.0559,47.2451,57.0568,56.4977,53.6891,55.0065,59.6742,58.5926,70.6954,64.0818,67.1709,73.2257,69.7257,74.0090,64.9691,63.5555,64.9054,70.7445,70.2599,67.3211,68.0103,65.6774,77.2976,74.8687,73.7268,77.9280,77.2937,73.2947,73.1248,70.6528,68.7967,70.0607,77.2162,90.1597,83.9559,88.0889,92.2438,108.3558,105.5493,107.6819,109.3554,114.5366,100.0000,105.6716,99.4599,92.3753,87.7225,86.6253
